Tweets,Label
@lynn93630469 Support my little sister in her school by buying a laptop for her Online Class and a stable wifi connection in our home. She badly needs it because she only uses an android phone and a data connection. 😊 Whenever she has something to encode she borrows laptop from our cousin's.,Neutral
"Yan, tama yan. Dapat lang na nasa #1 &amp; #2 ang tags natin, aba! Pambawi sa puyat ko, hahaha. Alas-kwatro na ako nakatulog kanina dahil sa SBEN19 MAPA tapos gumising ng 7 AM para sa online class 😬  STREAM SBEN19MAPA @SB19Official #SBEN19MAPAOutNow #SBNineteenAtKalayaan2021",Neutral
Kabi-kbila na ang utang ko dahil sa online class n to🥺🥺 panload pa lng di ko n afford🥺   Need some help🙏🙏🥺,Negative
Goodmorning🌞 Online class is real😂,Positive
umay sa globe fiber. goodluck pag may online class na talaga.,Negative
THIS. I was so mad last October my first semester terpaksa jadi online class. And I just ended my class for semester 2 last Thursday. What sin I did to deserve this?,Negative
So online class pa rin🙂 ayoko na mag enroll,Negative
Sinusulit ko lang ‘yung 1 year online class sa law school na palaging sa bahay lang.  https://t.co/9E49qOCghF,Neutral
"Today i using PC a lot, from khursus to online class to watching stream and movie. Lastly playing game. Wow, what a day. 😆",Neutral
"Now I know na hindi tlaga ako pwede sa online class, nakatulog ako sa isang lecture hahahahahahaha....",Negative
wrong timing ng laptop ko nasira pa kung kelan need sa online class 🥲,Negative
@onlyfordonbelle Buong araw nasa upuan dahil sa online class charot  DONBELLE PakigalawAngUPUAN @donnypangilinan @bellemariano02  @BenAndBenMusic,Neutral
"I slept very good that night. Next morning I woke up feeling refreshed, good mood, teaching online class still smiling and calm although some children hardly sit still while on Zoom. I'm not stress because younger kids needed physical class to play more to learn.",Positive
"YT, Facebook, Twitter, Viber, Instagram, Tiktok, Online Class, Netflix and other sites..Thank you Converge❤️Lalo na sa pfree upgrade and time of day promo laking tulong Lalo sa tulad naming wfh☺️  Sobrang sulit yung plan na nakuha ko☺️ #OwnYourFast   #ExperienceBetter #FiberX1500  https://t.co/F1AliZbnnX",Positive
online class again.,Neutral
"I'm back after 8 days of soc med detox.  PERO PUTANGINA, PAGOD NA PAGOD NA PO AKO. GUSTO KO MAYAKAP MGA KAIBIGAN KO :'&lt;&lt; Gusto ko sila makita lahat para mawala pagod ko. Hindi ko na kinakaya. Sobrang bigat ng online class na 'to. Please, ayoko na ng ganito. Sobrang hirap :'&lt;&lt;",Negative
"for all armys who right now struggle with online class, school, diploma, bachelor level whatsover,, i wish you guys stay healthy and fighting! and pass a flying colour thru this semester!",Positive
Breakdown no more na ata sa online class HAHAHAHAHAHA,Positive
10 slots ako for tomorrow converge wag ka mwwala first day of online class ko un umayos ka 😂,Neutral
@DhamzieDee Ahh ha Al-Qur’an Academy bale Online Class siya,Neutral
Gadgets for online class cutie,Neutral
Paano ka magiging productive kung until now online class padin. 😔,Negative
"@Converge_CSU ano na? more than 48hrs nang wala connection samin, dami na kami na miss na work at online class!!!!!",Negative
COMMISSIONS OPEN!  Need help with school work? We are still accepting commissions!  DM! We can help you!  tags: assignment homework commission ph pasagot pagawa patulong module essay maker help student acads paper ppt rush online class!  -Your Virtual Academic Friend,Neutral
Pa graduatin niyo na ako nakakaburyo na online class namimiss ko na mga ulul kong classmates,Negative
want ko na magdeactivate ng facebook account kung hindi lang dahil sa online class,Negative
sobrang hirap ng online class.,Negative
